Year,2000,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
Region/Subregion or Country of Birth,Estimate,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
India," 1,022,552 "," 1,519,157 "," +/-30,262 "," 1,501,782 "," +/-24,911 "," 1,622,522 "," +/-28,015 "," 1,665,219 "," +/-29,656 "," 1,780,322 "," +/-26,091 "," 1,856,777 "," +/-30,635 "," 1,967,998 "," +/-31,113 "," 2,034,677 "," +/-30,780 ","2,205,912","  +/-40,446 ","2,389,639","+/-31,113","2,434,524","+/-36,372"
Iran," 283,226 "," 326,312 "," +/-16,651 "," 326,205 "," +/-14,303 "," 344,935 "," +/-13,237 "," 362,699 "," +/-16,546 "," 356,756 "," +/-13,374 "," 362,371 "," +/-14,680 "," 378,520 "," +/-14,174 "," 363,972 "," +/-14,306 ","365,288","  +/-12,834 ","394,223","+/-14,189","386,073","+/-15,791"
Kazakhstan, - , - ,, - ,, - ,," 25,389 "," +/-3,594 "," 22,401 "," +/-3,232 "," 23,910 "," +/-3,180 "," 24,162 "," +/-3,392 "," 26,334 "," +/-3,080 ","26,527","  +/-3,610 ","29,859","+/-3,389","32,017","+/-3,941"
Nepal," 11,157 ", - ,, - ,, - ,," 45,304 "," +/-5,962 "," 69,458 "," +/-6,596 "," 73,528 "," +/-8,891 "," 85,959 "," +/-7,729 "," 87,456 "," +/-7,024 ","109,624","  +/-8,628 ","120,886","+/-8,823","129,450","+/-11,740"
Pakistan," 223,477 "," 259,282 "," +/-14,003 "," 286,302 "," +/-16,013 "," 282,483 "," +/-13,731 "," 283,988 "," +/-16,609 "," 299,581 "," +/-13,842 "," 303,915 "," +/-14,010 "," 314,331 "," +/-15,044 "," 342,603 "," +/-16,713 ","371,359","  +/-15,639 ","379,435","+/-17,427","382,852","+/-18,371"
Sri Lanka," 25,380 ", - ,, - ,, - ,," 42,329 "," +/-5,159 "," 43,585 "," +/-5,628 "," 45,762 "," +/-5,260 "," 46,411 "," +/-5,367 "," 51,268 "," +/-5,041 ","43,071","  +/-4,684 ","52,971","+/-5,613","55,049","+/-5,278"
Uzbekistan," 22,770 ", - ,, - ,, - ,," 49,950 "," +/-7,157 "," 44,636 "," +/-5,930 "," 51,421 "," +/-6,258 "," 60,438 "," +/-7,043 "," 48,197 "," +/-5,469 ","49,181","  +/-5,907 ","65,375","+/-5,987","62,713","+/-6,559"
Other South Central Asia," 75,457 "," 138,872 "," +/-10,478 "," 151,088 "," +/-10,115 "," 155,825 "," +/-11,086 "," 22,938 "," +/-4,286 "," 38,456 "," +/-4,670 "," 41,879 "," +/-6,541 "," 51,948 "," +/-6,850 "," 60,695 "," +/-6,956 ","76,589","  +/-9,390 ","65,719","+/-7,114","77,441","+/-8,053"
South Eastern Asia," 3,044,288 "," 3,502,387 "," +/-39,473 "," 3,542,850 "," +/-35,831 "," 3,587,682 "," +/-33,340 "," 3,666,823 "," +/-37,683 "," 3,872,963 "," +/-38,425 "," 3,939,341 "," +/-40,701 "," 4,012,201 "," +/-41,124 "," 4,032,035 "," +/-40,676 ","4,153,190","  +/-45,081 ","4,228,958","+/-40,229","4,229,855","+/-41,451"
Cambodia," 136,978 "," 145,215 "," +/-9,099 "," 145,266 "," +/-8,969 "," 145,919 "," +/-10,542 "," 154,545 "," +/-9,505 "," 164,746 "," +/-10,863 "," 160,212 "," +/-9,235 "," 159,666 "," +/-9,931 "," 164,746 "," +/-8,959 ","163,383","  +/-10,021 ","166,268","+/-9,301","152,415","+/-8,951"
Indonesia," 72,552 "," 90,882 "," +/-7,504 "," 84,079 "," +/-6,842 "," 85,850 "," +/-6,920 "," 84,096 "," +/-7,031 "," 99,768 "," +/-7,062 "," 97,244 "," +/-7,583 "," 86,872 "," +/-7,506 "," 94,600 "," +/-7,060 ","94,632","  +/-7,594 ","90,833","+/-7,010","94,453","+/-6,625"
Laos," 204,284 "," 192,110 "," +/-10,420 "," 190,605 "," +/-11,287 "," 189,274 "," +/-9,296 "," 191,780 "," +/-9,841 "," 192,302 "," +/-10,001 "," 183,768 "," +/-9,869 "," 198,149 "," +/-10,383 "," 196,154 "," +/-10,727 ","193,979","  +/-10,089 ","197,016","+/-9,812","183,894","+/-9,023"
Malaysia," 49,459 ", - ,, - ,, - ,," 48,459 "," +/-4,723 "," 65,169 "," +/-4,804 "," 58,268 "," +/-4,775 "," 55,067 "," +/-4,764 "," 68,956 "," +/-5,437 ","70,774","  +/-5,212 ","69,308","+/-5,119","78,459","+/-6,696"
Burma (Myanmar)," 33,905 ", - ,, - ,, - ,," 76,918 "," +/-8,318 "," 82,200 "," +/-7,021 "," 95,726 "," +/-7,388 "," 116,318 "," +/-8,554 "," 116,775 "," +/-10,937 ","128,071","  +/-9,651 ","137,567","+/-10,011","142,494","+/-12,077"
Philippines," 1,369,070 "," 1,638,413 "," +/-30,562 "," 1,701,126 "," +/-27,833 "," 1,684,802 "," +/-28,541 "," 1,725,894 "," +/-29,237 "," 1,777,588 "," +/-26,578 "," 1,813,597 "," +/-34,817 "," 1,868,316 "," +/-28,065 "," 1,843,989 "," +/-28,724 ","1,926,292","  +/-29,330 ","1,982,369","+/-30,007","1,941,665","+/-35,195"
Singapore," 20,801 ", - ,, - ,, - ,," 28,723 "," +/-3,296 "," 26,946 "," +/-2,887 "," 30,608 "," +/-3,366 "," 31,049 "," +/-3,829 "," 31,293 "," +/-2,925 ","30,732","  +/-3,428 ","36,252","+/-3,382","28,940","+/-2,959"
Thailand," 169,801 "," 186,526 "," +/-10,506 "," 195,948 "," +/-9,668 "," 199,075 "," +/-8,633 "," 203,384 "," +/-8,921 "," 222,759 "," +/-9,960 "," 239,942 "," +/-13,087 "," 237,050 "," +/-9,226 "," 233,547 "," +/-12,087 ","252,477","  +/-12,083 ","247,205","+/-10,349","253,585","+/-12,072"
Vietnam," 988,174 "," 1,117,800 "," +/-24,468 "," 1,100,833 "," +/-26,543 "," 1,138,039 "," +/-25,276 "," 1,152,384 "," +/-23,781 "," 1,240,542 "," +/-26,118 "," 1,259,317 "," +/-26,365 "," 1,258,979 "," +/-29,580 "," 1,281,010 "," +/-29,851 ","1,291,807","  +/-26,225 ","1,300,515","+/-27,733","1,352,760","+/-25,820"
Other South Eastern Asia," 53,970 "," 131,441 "," +/-8,798 "," 124,993 "," +/-9,293 "," 144,723 "," +/-11,031 ", 640 , +/-385 , 943 , +/-760 , 659 , +/-400 , 735 , +/-401 , 965 , +/-521 ,"1,043",  +/-500 ,"1,625",+/-673,"1,190",+/-504
